d_date,date,delay,distance,origin,destination
2014-11-22,1122105,22,281,AMA,DAL
2014-11-22,1122140,-3,1259,ANC,SEA
2014-11-22,1122150,2,2189,ANC,MSP
2014-11-22,1122025,5,2473,ANC,ORD
2014-11-22,1122015,-7,636,ATL,DFW
2014-11-22,1122150,-6,288,ATL,MEM
2014-11-22,1122008,15,636,ATL,DFW
2014-11-22,1122155,-2,788,ATL,MSP
2014-11-22,1122025,2,619,ATL,BUF
2014-11-22,1122153,-4,117,ATL,BHM
2014-11-22,1122227,-3,132,ATL,TYS
2014-11-22,1122045,-5,186,ATL,BNA
2014-11-22,1122030,0,475,ATL,DCA
2014-11-22,1122100,1,369,ATL,MSY
2014-11-22,1122145,5,186,ATL,SAV
2014-11-22,1122040,-1,318,ATL,DAB
2014-11-22,1122201,-6,581,ATL,MKE
2014-11-22,1122030,-2,785,ATL,PVD
2014-11-22,1122025,0,690,ATL,SYR
2014-11-22,1122150,-1,579,ATL,PHL
2014-11-22,1122040,9,309,ATL,RDU
2014-11-22,1122140,0,822,ATL,BOS
2014-11-22,1122030,-3,264,ATL,LEX
2014-11-22,1122152,16,225,ATL,CHS
2014-11-22,1122155,0,447,ATL,RSW
2014-11-22,1122140,-1,747,ATL,BDL
2014-11-22,1122200,-2,234,ATL,JAX
2014-11-22,1122150,0,457,ATL,PIT
2014-11-22,1122040,7,473,ATL,PBI
2014-11-22,1122035,3,714,ATL,OMA
2014-11-22,1122025,-1,651,ATL,ROC
2014-11-22,1122155,-5,324,ATL,CVG
2014-11-22,1122213,-1,279,ATL,SDF
2014-11-22,1122204,-7,266,ATL,GSO
2014-11-22,1122159,12,473,ATL,PBI
2014-11-22,1122030,9,605,ATL,HOU
2014-11-22,1122035,-2,661,ATL,OKC
2014-11-22,1122055,10,234,ATL,JAX
2014-11-22,1122145,-1,662,ATL,LGA
2014-11-22,1122140,2,516,ATL,DTW
2014-11-22,1122055,3,197,ATL,TRI
2014-11-22,1122202,-2,393,ATL,LIT
2014-11-22,1122205,-3,421,ATL,STL
2014-11-22,1122145,-3,475,ATL,DCA
2014-11-22,1122140,-2,197,ATL,CLT
2014-11-22,1122150,-1,351,ATL,MCO
2014-11-22,1122050,-3,459,ATL,CAK
2014-11-22,1122008,0,586,ATL,TUL
2014-11-22,1122058,-2,760,ATL,SAT
2014-11-22,1122025,53,296,ATL,JAN
2014-11-22,1122150,0,505,ATL,FLL
2014-11-22,1122030,-2,275,ATL,MYR
2014-11-22,1122036,4,1518,ATL,LAS
2014-11-22,1122140,1,636,ATL,DFW
2014-11-22,1122154,-2,388,ATL,CMH
